a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
1.081395,0.258761,0.029203,5.850546,1,0.034621,0.03397794,0.13935252,-0.00028593,-0.03094031,0.02817221
1.900029,0.121162,0.043520,5.989556,1,0.050885,0.00639699,0.06880733,0.02721741,-0.00336517,0.00177025
0.594213,0.017879,0.035468,1.883142,4,0.037500,0.00640128,0.46745408,1.27215242,0.17780721,3.20865536
1.811992,0.218863,0.031037,3.815994,1,0.036851,0.01658881,0.08546854,0.00344642,-0.00896200,0.00484091
0.407743,0.125443,0.025527,4.324699,4,0.021488,0.10067311,0.73647231,-0.08316249,-0.06728356,-0.04303804
1.855678,0.110833,0.046776,2.105337,2,0.050274,0.00891176,0.09665537,0.01961042,-0.00057453,-0.00061289
0.975189,0.048166,0.001512,2.167688,1,0.001647,0.00862789,0.18051259,-0.00030509,0.03013977,0.04389458
0.456542,0.133808,0.037770,2.155773,3,0.045684,0.06711135,0.56330985,-0.00731985,0.14112857,-0.02900973
1.025753,0.048339,0.034880,1.624636,1,0.029734,0.01066602,0.15487756,0.23231642,0.05818579,0.13669953
0.148851,0.082849,0.025097,4.944754,3,0.023599,0.11254546,1.31906998,-0.40898120,0.04688106,-0.80046260
1.245072,0.216768,0.033862,1.850433,4,0.039199,0.03265284,0.18405002,0.02065815,0.00732709,-0.00879896
0.411622,0.205238,0.049338,1.008031,3,0.043318,0.11504093,0.51060539,-0.04142339,0.38632068,0.33131880
1.805660,0.064885,0.029431,1.321390,4,0.033580,0.00243201,0.08476026,0.70480567,0.01001589,0.02901120
1.276737,0.174600,0.047235,5.674797,1,0.039320,0.02211374,0.10573913,0.01134298,-0.01714289,0.01328890
0.868469,0.211126,0.014917,2.318807,2,0.012330,0.06001943,0.27208680,-0.00586872,-0.00132358,-0.02390042
0.516470,0.248517,0.039512,2.437375,4,0.048126,0.12565227,0.54807687,-0.07293819,-0.00510323,-0.10648686
1.514980,0.161773,0.033918,4.489109,3,0.036876,0.01785769,0.12651728,0.00894431,-0.01149891,0.00740285
1.780562,0.182706,0.043271,1.974682,4,0.051956,0.00962296,0.09528607,0.13824394,-0.00068376,-0.00054623
0.624594,0.260272,0.026019,2.216319,1,0.022931,0.06437293,0.24071549,-0.00614219,0.00570875,-0.04449927
0.579736,0.177683,0.043726,2.897825,4,0.037415,0.09629104,0.46910936,-0.01031072,-0.01644738,-0.06704190
1.258003,0.211159,0.045798,3.917503,3,0.042693,0.03870948,0.15814373,0.00789571,-0.02815134,0.02041005
0.848602,0.105186,0.040050,1.356623,2,0.040858,0.02748551,0.26043719,-0.00332840,0.11581565,0.22085816
1.504499,0.283744,0.005425,3.860691,1,0.004974,0.03316808,0.11621642,-0.00072528,-0.02124375,0.01359995
1.135294,0.208584,0.010652,6.426718,2,0.010129,0.04105826,0.19419889,-0.00268468,-0.03590073,0.03139045
0.544449,0.055514,0.047499,5.854181,1,0.047102,0.01285740,0.22167440,0.00311616,-0.01052531,0.00423779
0.475549,0.097850,0.006736,5.190185,2,0.007310,0.04896500,0.50497532,-0.02109605,-0.04466184,0.02062553
0.832413,0.036786,0.002411,1.632672,4,0.001987,0.01344821,0.34352997,0.02018054,0.13966383,0.79343623
1.386641,0.270240,0.002576,3.496274,3,0.002602,0.04553464,0.16796695,-0.00205894,-0.02994928,0.01963781
0.292748,0.022802,0.007155,1.498192,3,0.005788,0.01986639,0.77794814,0.25171742,0.64018452,11.79083633
1.371395,0.106732,0.010163,3.197237,3,0.011751,0.01568847,0.16599870,0.01436080,-0.00738904,0.00313485
0.178879,0.194760,0.009986,4.745009,3,0.010781,0.25126585,1.25059044,-0.74844694,-0.45969883,0.54594958
1.732356,0.049000,0.048732,2.584507,3,0.042592,0.01808586,0.04270475,1.58429146,-0.00525870,0.00046911
1.954679,0.298283,0.002454,5.569349,2,0.002461,0.02971984,0.09968143,-0.00047752,-0.01519976,0.00777365
0.953389,0.260271,0.029080,1.645700,4,0.031541,0.06716180,0.27068943,-0.00746827,0.03413608,-0.03208197
1.249169,0.250868,0.001307,3.692121,2,0.001362,0.04627144,0.18411763,-0.00249387,-0.03321262,0.02373595
1.377367,0.152159,0.005058,3.595107,4,0.005729,0.02466226,0.17029993,0.00056490,-0.01541348,0.00954841
1.501154,0.157294,0.048349,3.770836,1,0.045291,0.01728000,0.09828206,0.00442355,-0.01068878,0.00659764
1.703341,0.117874,0.014587,3.281768,2,0.012040,0.01638376,0.11494783,0.02094017,-0.00847786,0.00435645
0.864667,0.250540,0.045191,3.021047,3,0.038008,0.07832791,0.27004555,0.00244002,-0.05089415,0.02665484
1.331647,0.012620,0.044799,4.203480,4,0.042932,0.00858464,0.02807634,7.39014721,-0.00426985,0.00165930
0.290415,0.147219,0.041804,2.644300,3,0.041931,0.11775666,0.78961754,-0.15650657,0.13055761,-0.34538868
0.128234,0.029230,0.049482,4.889409,3,0.048465,0.03868117,1.23311293,-0.02835849,0.35227689,0.60959810
0.602303,0.190306,0.038105,3.971668,2,0.033242,0.07200076,0.35214266,-0.01315928,-0.06570748,0.04866462
1.202952,0.270343,0.048382,7.112828,1,0.047224,0.02937275,0.10530781,-0.00077392,-0.02437402,0.02022594
1.136685,0.161234,0.019631,1.879998,3,0.017277,0.03793456,0.21194832,0.00608283,0.01958878,-0.01592862
1.585835,0.090103,0.033059,3.755538,2,0.040090,0.00615635,0.10972677,0.19898276,-0.00340443,0.00187234
0.282932,0.147494,0.003422,4.186964,1,0.004039,0.06358943,0.43178010,-0.01932207,-0.03357925,-0.07963505
0.994853,0.218699,0.023004,2.829148,1,0.027384,0.03476706,0.16718061,-0.00054697,-0.01631504,0.00464433
0.794943,0.254124,0.042262,2.296630,4,0.046798,0.07846399,0.32985109,-0.01415553,-0.00836025,-0.02890632
1.437489,0.262237,0.012605,2.855554,2,0.012289,0.03930969,0.14816311,-0.00141010,-0.02187117,0.01191435
0.604019,0.036470,0.034764,4.530190,3,0.030401,0.02184906,0.39657950,1.05033898,0.01157516,-0.03684163
1.815076,0.242672,0.031499,5.440145,3,0.026598,0.03007738,0.09293716,0.01819540,-0.01655670,0.00911392
1.580918,0.114111,0.040070,3.348899,4,0.033691,0.02806559,0.09711248,0.37005708,-0.01569391,0.00869925
0.428396,0.286365,0.045123,2.714383,2,0.041102,0.13926160,0.46528196,-0.06203182,-0.06760928,-0.05554773
1.487488,0.297005,0.005626,1.516912,1,0.005277,0.03532380,0.11849315,-0.00078972,0.00483093,-0.00687072
0.821863,0.108344,0.025252,2.551962,2,0.022606,0.03324856,0.27976930,0.00918351,0.02155183,-0.02576250
0.512852,0.056786,0.001162,1.794096,1,0.001279,0.01592885,0.28196871,-0.00191902,0.13383466,0.57793409
1.843104,0.268933,0.013266,1.606845,3,0.015080,0.02698639,0.10928067,0.00136893,-0.00134991,-0.00208379
1.569544,0.095321,0.039737,2.854760,2,0.033654,0.01814947,0.11127551,0.18609565,-0.00752140,0.00271743
1.807236,0.021421,0.004231,1.045332,1,0.003639,0.00236349,0.09477352,0.06245468,0.03688428,0.33630919
0.853588,0.122057,0.024467,3.732309,2,0.027105,0.03030463,0.26432920,0.00129782,-0.01741001,0.00655658
0.275857,0.205076,0.045046,4.074353,2,0.036628,0.13569762,0.61859226,-0.11571208,-0.15655744,0.06345084
1.975664,0.134646,0.045356,2.012170,1,0.037646,0.01490821,0.07597751,0.04598153,-0.00292952,-0.00001808
0.242669,0.276232,0.016719,5.143691,1,0.016725,0.12236347,0.44007295,-0.04529145,-0.25854841,0.50667286
1.889630,0.152245,0.033796,3.417282,3,0.036807,0.01177868,0.09454460,0.01656776,-0.00590988,0.00296243
0.380537,0.265224,0.004047,4.086613,4,0.004369,0.23449701,0.85733968,-0.30085638,-0.32472020,0.38362926
0.791852,0.260621,0.010322,6.760415,2,0.011034,0.07623430,0.29434672,-0.01210774,-0.09380317,0.11539833
0.623223,0.284706,0.007490,2.293518,1,0.006559,0.07244283,0.25257832,-0.00751781,-0.00706808,-0.03786238
0.493654,0.085364,0.010559,1.878582,1,0.011808,0.02375562,0.28501898,-0.00198066,0.11782524,0.24158965
0.400020,0.029552,0.014600,1.451685,2,0.016215,0.01321804,0.49339566,0.09949876,0.33126980,5.07592535
1.055688,0.074650,0.032413,4.397975,4,0.031801,0.01816184,0.21690539,0.02190166,-0.01302399,0.00898573
0.257227,0.071952,0.014570,4.336631,1,0.012965,0.03192989,0.43358049,-0.00856629,0.04924066,-0.14071023
1.953708,0.228092,0.010030,5.663206,3,0.009675,0.02287372,0.09693286,-0.00006364,-0.01170391,0.00598860
